Numero,CUFE/CUDE
FPSE330,242a8b0a34df59aadd0389b0ec34b86149d21120c3b549102f1508423876a688a0465ae0dc47c95c8d33c89513428e32
FPSE329,63d014704796d67d395c475cc43a35aa6e033114e9031a8a5bc6e44de4f81ebdca6a1e9af5382a9bdec77e625fac376b
FPSE328,63f6cdf631d74274f167b6bf1c5e347789abbe1448a72c98dde88ea68a0bc2b10ba54eb651c27ee351332b8cc4f22bf8
FPSE327,3d5b4fd2c43f37f5e7c17ce7654c638ebf4af5c6607d34d80d048b6b4896dadd6b3a32ae2667f0fa63412300240fbd80
FPSE326,5606b065283af127047198c7302b521d7e6b0b8a7cfed90700b0cce59ae20232264936c8db51edfe362ba7f09b24a294
FPSE290,0fab78ea9575c022b3b1f26ae998ebe081e4d01b7eb98967c812d52d40b60d406ef5e7fce38328bb64919bb6459ab97d
FPSE325,b9ae29d065328ed2f36d2c9a3ea88767806168e535fd68934057bf440d9cf38e723424ea478eca53473428cb157a7ffd
FPSE324,3ddd321e9939a86ca277569f0972c4fb4dc601a14c87b786bc9017bbe1ceb2b54bdbfecae6f4daa2854d9b7b1693006a
FPSE323,6b91aa2affa459f58a9b196396156504064d3911f5767b45821f68bd83892a34e36ce948c89e1938a464f459735fa80d
FPSE322,c3e8a057fced321bac59b8b6cb40394cf0601fb71c26f010e175f33e197fc3239c592c9d22890e334fdea9b854515650
FPSE321,412bc99362476e38455bc6df438e33b1dffd4c35aebda938a325f1e53bb5ac003fbc679cffe79f70818770a148bbb944
FPSE320,4a13f8b46c9cbd5f61090f0b5ecfe178eb4816577cf0daed3bb6a1daaf906cbed66fffba73c66fe7c2042b0aa88369c6
FPSE319,c8ba6c4b84bdadd2b1926e4d3718807ae63da3a01810e0d117843b73680df578221b1a5b7c9d34bb97854846ff960e60
FPSE318,0f878de3ed8967f0a30b8add282e60176d54775f6595c9d272852d2bad4d55e3b34d5e6ef0c1cffef62884634f7d102b
FPSE317,a7852bec9d02e54a8d4295087eebe604fbbe75ca943c4e2201fa66f13a668004bedf726fb2fd41665d491de842cceff3
FPSE316,44176c99b0edaae9eb889f6d185aff06acb60229c30f8f8f39080046e95b87ca5ca5f6d1662022b8bec4b01fd1980897
FPSE315,af8b7758436ff3365b0f039f7278233fe6b03851a29e3a8d905bbe86d2a27af5a861f38fe57ddf0a3fde48a3d0cb6981
FPSE314,29dac024a00eae1a23de0a42228a4c80b9b04ece6f7837b8361dfc944a519ab12a3e61ee4fec6c434611e08c6c4d3ffc
FPSE312,a590cea3deb24ee887a3747cbe969f6e571ba7eed29a3bad938b0aa04952b9e45c9913b1ef9ff68ad6bf52a67bc46630
SEDS500,aaab5504e885d32c1ad33075d41ac4290498a971d927e1c9ee9b2ce9a28540d49de1d3082e5941080c0bb720df8e25fc
SEDS499,699f164a1a0f403807a68665c32d41e64c550b26aeb2b62685f59ba45479b82f94f5283fc43ab0280746ad7e3320847a
SEDS498,33f65ad7828f571ef61b5a4eb0fc85d1262cb3681b99a9bba44610dfb3cb3e6db4a84ab2392645b133063e7761e94b72
SEDS489,ceff268fae3c5c8f690fdd8500039004ad3c4fae7f215d48f398bc6d8ce536ba5c4b96615d0b1cf92527eea76b26a679
SEDS497,50a2f6bb18f47dad7624aa26eb16c9bc37385c0dffc88958c8489df8e047358cce09a54d6770f55343a422ad09487edd
SEDS496,c939239ea569b897072ddac89081f7662373e678219cb5d43adf6163fbecd62bc6212b0d48c6c41e74f6066999045b3c
SEDS495,806189124c2001b726ceb046f7d49f1e2d98679392fe5b56682e2f722a07800892262e6e3e188e4d4d9c976a3113c602
SEDS494,611d1bea5eb02f29802517436b826837e726641e22080fc4f7287e892f553277e0aee1c796ef4b81320e67573fa322af
SEDS492,148139ab22cb94ed8652f65e4853f4f4e0d8fe8dae0cfae697523fbc91dd194d5c7a794c010099ab3e8224a7643ac0a3
SEDS491,de79eaccf4d69429de25b490e56021a31a762c16a8c3354f8b5ffead8e896c45981bf014dd58f53bcefb8a6618fc2678
SEDS490,aed808f4cbf3ecf97c7742e9eda91cb369176a8c43e97398c9fd5578ea329c5cc9da25b03c4bb92cf3b7d8c34d41ac2d
SEDS484,8cb4a5a7edb08f0a309bad91e5bb9780f7ba3f10402a6f3db4e939d6e168766655f23455b7ba1786c6312e9dc6beee08
SEDS487,24f34938266bb1597713c40667e9ece2387f4aecee33736dd217eda8212c04b522785c7a37065d37e4af0143bfea177e
SEDS486,e8733286adda03028612d41aaff60386fd0fef2e2d08cd11287d96bc8682f6c362bc403b65536e5e72e951af085b8c4b
SEDS485,7cb1899771be05f2b86d807e99af9be314fbde45a14ae61a630363bbb0eccc3032497b40ed6d7efa995b6450dc1b5493
SEDS483,2fee0ffc1b9e2e5aed0ece3e3c82513fe6279e81420e2d5940ed59c4e758011ce6093a457c60ec77a347b2bacf71ead1
SEDS482,a993ede34d57fa2f2464f26fca3889609d3f367357281d7ac556f0bd03fa7f1b35e9ea73caa8548ee548e43037f88338
SEDS481,9b1cc2c44588cf81bd63591a5e030db567bed81eeb4d0ee18569c032b843c37cb545b8fc22c133f815a797a349126b69
SEDS479,c2e699941918a098e6daf2d1fd6fffa4dfa3b3d831797291d5e9f62edde4d77436cf2d9bb2ea209426beb7b55d05f054
SEDS478,83bfea0cacbc50b8a2bcf496d9ae67ed7083f3a564e1c40995c63e8aef82d205f824603d4897ddf7c817ccbf4dbbd4fd
SEDS477,739b3673b5ad4e814e8f33e533c33d69c2311bb6472cf45a6ac397e884ba086d168701293e7b6e42e150f3adcb9db6a8
SEDS476,6d90f48809efc1ec59aa36b71cdccf4cfe1628640ddd16356400d8d6ddbfe714b0591c261aef2b0da1581b01c8418a19
SEDS475,8db3683e5597d169ec6b3c6f0eb05d8ff9d991004ca7ee1c9351875d149bd936d5b6d20c87abab3a080b8c6af8b1f14d
SEDS473,5ac3cb401cad4b6d998d1e25a29fb0e1f13f4f5a2f8bdc76d0bbf1592d6af1779fff35c30570b9d2fd64499a1e8c02d2
SEDS472,72d765ad8cf74ec4048ea2377bd6a95728fcfc04fc10d3ccdb665c9d9ab2b7b567c16e2d7c857eef1a2f33e4e5f374e3
SEDS471,1ffed29f942271ad7be7f00d298b1b6bf8429838a9128b6366529749cad23ab6764c473f60cae45fd9164cf92d15cac1
SEDS469,facb6415c50ad375585f275b4921f6d94957ea28a20a9066197bf75e03d637320c20268448bd0cf74b86ff767c446e7b
SEDS468,c84bd2dad89e9d3dbf01fdb1b429763d85c2d7a59afbc820285803c5404c80f81c41abdde6bc51557971ac6e9ac61387
SEDS463,bfa694a310aae2b0927dade921c54ce0a258a082f0cba4a8b4cef4f698646ee3327022546d4473ae89854de4b7426ed5
SEDS465,ffafbb271082652e177bae60a797f2a29c778d2427050500fc6c6432fba3d8014a841fb370f68e1db842a476fa4b2a16
SEDS464,31fc4172c1c292944aa950bc20bcf245d6f0df1dd4ad053e3713b4bd060224b932f34a293aa3428b4747950fd7c16be3
SEDS462,0d207ef1628c091f6228e2740175269ffcdc093f24ae16391a297f142a0bc6b73892d59e8cb06c4ea94affb5f8cde639
SEDS460,8f4320bd99e985d4c73114e02f9f43b656a6ae0fad496abd5b93e491b7920b89c886a46b597bc7766f3ef678b63af9cb
SEDS457,e3266eb18e3a87d06fc8775c9157fe491c62b6a9e2359de684e503e97e41a445570e20bc25e9f456402ccf3c488a4c95
